epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,7328.34,0.63508,0.82617,0.98101,0.99659,0.84848,0.9191,0.77795,0.58951,0.69718,0.88367,0.00167229,0.000557429,0.00167229,0.000557429,0.00167229,0.000557429,0.00167229,0.000557429
53,7468.15,0.67132,0.83731,0.9817,0.998,0.84848,0.91779,0.78117,0.59583,0.70155,0.88817,0.00158743,0.000529143,0.00158743,0.000529143,0.00158743,0.000529143,0.00158743,0.000529143
54,7610.61,0.62283,0.75632,0.94666,0.99565,0.84848,0.91471,0.77117,0.58831,0.70717,0.8952,0.00150257,0.000500857,0.00150257,0.000500857,0.00150257,0.000500857,0.00150257,0.000500857
55,7751.42,0.66951,0.78158,0.97026,0.99392,0.84848,0.90948,0.77954,0.57048,0.69709,0.88389,0.00141771,0.000472571,0.00141771,0.000472571,0.00141771,0.000472571,0.00141771,0.000472571
56,7888.87,0.62308,0.7886,0.9563,0.99332,0.84848,0.90995,0.78329,0.56964,0.69215,0.885,0.00133286,0.000444286,0.00133286,0.000444286,0.00133286,0.000444286,0.00133286,0.000444286
57,8029.2,0.65453,0.78798,0.97391,0.99296,0.84848,0.90752,0.77172,0.56778,0.6874,0.889,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
58,8169.95,0.63142,0.77042,0.95188,0.99225,0.84848,0.90638,0.78444,0.5762,0.67884,0.89432,0.00116314,0.000387714,0.00116314,0.000387714,0.00116314,0.000387714,0.00116314,0.000387714
59,8307.81,0.66353,0.8134,0.99525,0.98948,0.84848,0.90806,0.77911,0.58396,0.67843,0.89586,0.00107829,0.000359429,0.00107829,0.000359429,0.00107829,0.000359429,0.00107829,0.000359429
60,8448.18,0.61376,0.76223,0.95729,0.99156,0.84848,0.90879,0.77784,0.58313,0.68245,0.89332,0.000993429,0.000331143,0.000993429,0.000331143,0.000993429,0.000331143,0.000993429,0.000331143
61,8584.45,0.57109,0.84812,0.96189,0.98704,0.84848,0.91758,0.76855,0.58784,0.69572,0.89837,0.000908571,0.000302857,0.000908571,0.000302857,0.000908571,0.000302857,0.000908571,0.000302857
62,8724.23,0.58588,0.87096,0.97792,0.986,0.84848,0.9017,0.75849,0.59189,0.71769,0.90531,0.000823714,0.000274571,0.000823714,0.000274571,0.000823714,0.000274571,0.000823714,0.000274571
63,8864.65,0.55301,0.80009,0.94384,0.9549,0.84848,0.89708,0.7632,0.60857,0.73401,0.91507,0.000738857,0.000246286,0.000738857,0.000246286,0.000738857,0.000246286,0.000738857,0.000246286
64,9000.9,0.54907,0.7989,0.94241,1,0.84412,0.89797,0.7601,0.60357,0.73301,0.91389,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
65,9140.62,0.57688,0.79065,0.93075,1,0.84055,0.90069,0.75713,0.61031,0.73014,0.91291,0.000569143,0.000189714,0.000569143,0.000189714,0.000569143,0.000189714,0.000569143,0.000189714
66,9279.77,0.54344,0.77314,0.92498,0.95707,0.84848,0.89727,0.76209,0.60224,0.72388,0.90766,0.000484286,0.000161429,0.000484286,0.000161429,0.000484286,0.000161429,0.000484286,0.000161429
67,9415.96,0.53335,0.7588,0.93279,0.95692,0.84848,0.89717,0.7574,0.58918,0.72259,0.90345,0.000399429,0.000133143,0.000399429,0.000133143,0.000399429,0.000133143,0.000399429,0.000133143
68,9556.68,0.5375,0.79421,0.93349,0.94914,0.84848,0.89662,0.76042,0.58819,0.72187,0.90056,0.000314571,0.000104857,0.000314571,0.000104857,0.000314571,0.000104857,0.000314571,0.000104857
69,9693.45,0.52396,0.79017,0.9243,0.95611,0.84848,0.89799,0.75619,0.59197,0.71344,0.8971,0.000229714,7.65714e-05,0.000229714,7.65714e-05,0.000229714,7.65714e-05,0.000229714,7.65714e-05
70,9833.1,0.56674,0.78513,0.94757,0.95302,0.84848,0.89955,0.76118,0.5896,0.71794,0.89833,0.000144857,4.82857e-05,0.000144857,4.82857e-05,0.000144857,4.82857e-05,0.000144857,4.82857e-05
